           AT2018kkz           -  59487.862   -0.32 0.01   0.226 0.015   0.085 0.015
           AT2018ief         AGN  59487.952    0.90 0.13  -0.059 0.036  -0.242 0.056
           AT2018ief         AGN  59496.955    0.88 0.09  -0.127 0.026   0.020 0.042
           AT2018ief         AGN  59500.848    0.70 0.13  -0.003 0.042  -0.021 0.052
           AT2018ief         AGN  59503.011    0.76 0.09   0.094 0.025   0.022 0.039
           AT2018ief         AGN  59517.922    0.71 0.10   0.037 0.023  -0.230 0.052
           AT2018ief         AGN  59521.163    0.93 0.18  -0.806 0.037   0.240 0.062
           AT2018ief         AGN  59522.815    0.71 0.13  -0.003 0.016   0.181 0.076
           AT2018ief         AGN  59525.036    0.66 0.09  -0.047 0.021   0.171 0.043
           AT2018ief         AGN  59529.786    0.71 0.05  -0.039 0.018   0.081 0.031
           AT2018ief         AGN  59531.916    0.70 0.11  -0.051 0.025   0.197 0.056
           AT2018ief         AGN  59536.793    1.00 0.01   0.132 0.016   0.020 0.016
           AT2018lvt           -  59536.916   -0.17 0.04   0.291 0.023   0.308 0.015
          AT2021abbb           -  59496.967   -0.06 0.06  -0.109 0.034  -0.108 0.018
          AT2021abbb           -  59500.782   -0.06 0.04   0.029 0.016  -0.027 0.025
          AT2021abbb           -  59503.070    0.14 0.06   0.035 0.028  -0.080 0.021
                   -         AGN  58876.867   -0.11 0.10   0.050 0.022  -0.052 0.048
                   -         AGN  58893.773   -0.19 0.03  -0.022 0.021  -0.025 0.019
                   -         AGN  59251.027   -0.24 0.01  -0.059 0.017   0.209 0.015
                   -         AGN  59280.665   -0.12 0.01  -0.002 0.016   0.150 0.015
           AT2020yui           -  59181.018    0.06 0.01   0.077 0.015  -0.044 0.015
           AT2018gsu         AGN  59500.967    0.37 0.01   0.022 0.015   0.005 0.015
           AT2018gsu         AGN  59502.973    0.42 0.01   0.014 0.015  -0.046 0.015
           AT2018cch         AGN  59396.635   -0.24 0.03   0.243 0.015   0.366 0.020
           AT2018cch         AGN  59403.762    0.18 0.13  -0.328 0.022  -0.558 0.064
           AT2018cch         AGN  59725.020    0.48 0.40  -0.911 0.119  -0.888 0.099
           AT2019cuy         AGN  58272.775    0.94 0.16   0.021 0.074  -0.153 0.025
           AT2019cuy         AGN  58280.810    0.05 0.07  -0.370 0.026   0.819 0.033
           AT2019cuy         AGN  58300.873    0.80 0.14  -1.570 0.024  -0.875 0.065
           AT2019cuy         AGN  58307.773    1.14 0.22   0.188 0.081   0.523 0.070
           AT2019cuy         AGN  58616.730    1.06 0.22   0.291 0.102  -0.004 0.024
           AT2019cuy         AGN  58943.975    1.43 0.01   0.423 0.015   0.205 0.015
           AT2019cuy         AGN  59014.080    0.39 0.09   0.209 0.033   0.918 0.041
           AT2018luy         AGN  59039.716   -0.18 0.38   0.010 0.157   0.060 0.109
           AT2018luy         AGN  59042.702   -0.06 0.33   0.027 0.155   0.019 0.069
           AT2018luy         AGN  59194.006    0.06 0.01   0.267 0.015  -0.085 0.015
           AT2018luy         AGN  59264.918   -0.01 0.01   0.486 0.015  -0.285 0.015
           AT2018ifz         AGN  58876.581    0.19 0.01  -0.030 0.015  -0.026 0.015
           AT2018ifz         AGN  58890.904    0.21 0.02   0.022 0.016   0.021 0.017
           AT2018ifz         AGN  58893.942    0.20 0.01  -0.002 0.016  -0.003 0.015
           AT2018ifz         AGN  59525.972    0.36 0.01   0.070 0.015   0.025 0.015
           AT2018ifz         AGN  59530.955    0.30 0.01  -0.066 0.015  -0.025 0.015
           AT2018bbm         AGN  59638.953    0.66 0.02  -0.000 0.017   0.038 0.016
                   -         AGN  59290.835    0.26 0.05  -0.170 0.027  -0.087 0.019
                   -         AGN  59295.617    0.38 0.07  -0.103 0.035  -0.026 0.015
